,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
278,2,2022-06-01 00:53:25,2022-06-01 01:04:42,1,1.85,1,N,114,186,1,10,0.5,0.5,2.76,0,0.3,16.56,2.5,0
279,1,2022-06-01 00:13:36,2022-06-01 00:28:13,0,3.5,1,N,264,264,2,13.5,0.5,0.5,0,0,0.3,14.8,0,0
280,2,2022-06-01 00:38:26,2022-06-01 00:53:31,5,3.59,1,N,143,41,1,13.5,0.5,0.5,4.32,0,0.3,21.62,2.5,0
281,2,2022-06-01 00:18:43,2022-06-01 00:25:54,1,3.11,1,N,264,129,2,10.5,0.5,0.5,0,0,0.3,13.05,0,1.25
282,2,2022-06-01 00:23:39,2022-06-01 00:32:18,1,1.7,1,N,234,79,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5,0
283,2,2022-06-01 00:37:33,2022-06-01 00:46:10,1,2.03,1,N,79,170,1,9,0.5,0.5,2.56,0,0.3,15.36,2.5,0
284,2,2022-06-01 00:15:10,2022-06-01 00:35:44,1,4.33,1,N,231,237,1,17,0.5,0.5,4.16,0,0.3,24.96,2.5,0
285,2,2022-06-01 00:27:56,2022-06-01 00:52:57,1,4.97,1,N,249,236,1,20,0.5,0.5,4.76,0,0.3,28.56,2.5,0
286,2,2022-06-01 00:56:11,2022-06-01 01:02:56,3,1.52,1,N,236,140,2,7,0.5,0.5,0,0,0.3,10.8,2.5,0
287,1,2022-06-01 00:09:12,2022-06-01 00:30:33,1,4.9,1,N,170,260,1,18.5,3,0.5,2,0,0.3,24.3,2.5,0
288,1,2022-06-01 00:27:50,2022-06-01 00:40:40,1,2.8,1,N,249,48,1,12,3,0.5,3.15,0,0.3,18.95,2.5,0
289,1,2022-06-01 00:07:29,2022-06-01 00:22:51,1,3.1,1,N,74,69,2,13.5,0.5,0.5,0,0,0.3,14.8,0,0
290,2,2022-06-01 00:28:00,2022-06-01 01:05:56,3,12,1,N,237,181,1,38.5,0.5,0.5,10.57,0,0.3,52.87,2.5,0
291,2,2022-06-01 01:00:27,2022-06-01 01:10:28,1,2.41,1,N,163,236,1,9.5,0.5,0.5,0,0,0.3,13.3,2.5,0
292,2,2022-06-01 00:03:23,2022-06-01 00:08:17,1,0.82,1,N,145,226,2,5.5,0.5,0.5,0,0,0.3,6.8,0,0
293,2,2022-06-01 00:10:17,2022-06-01 00:17:06,4,1.77,1,N,237,162,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5,0
294,2,2022-06-01 00:01:38,2022-06-01 00:11:45,1,2.01,1,N,162,143,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5,0
295,2,2022-06-01 00:46:36,2022-06-01 01:14:03,1,6.69,1,N,164,223,2,24,0.5,0.5,0,0,0.3,27.8,2.5,0
296,2,2022-06-01 00:30:56,2022-06-01 01:03:50,2,18.08,1,N,132,37,1,50,0.5,0.5,4,0,0.3,56.55,0,1.25
297,2,2022-06-01 00:09:13,2022-06-01 00:43:04,2,16.96,2,N,132,170,1,52,0,0.5,10,6.55,0.3,73.1,2.5,1.25
298,2,2022-06-01 00:13:50,2022-06-01 00:22:26,1,1.54,1,N,113,68,1,8,0.5,0.5,2.95,0,0.3,14.75,2.5,0
